generation,individual,fitness_f1,learning_rate,epochs,batch_size,dropout1,dropout2,dropout3,h1,h2,h3,patience
3,20,0.7105263157894737,0.00037900586552769077,76,32,0.4,0.3,0.1,64,32,16,8
4,1,0.06593406593406594,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
4,2,0.7918781725888325,0.005807885018422765,90,16,0.4,0.3,0.3,64,32,16,8
4,3,0.5343511450381679,0.005677918413839926,90,64,0.4,0.4,0.3,64,32,16,8
4,4,0.6143790849673203,0.005807885018422765,37,64,0.3,0.3,0.3,64,32,16,8
4,5,0.7661691542288558,0.005677918413839926,75,64,0.4,0.4,0.2,64,32,16,8
4,6,0.45086705202312133,0.005807885018422765,90,64,0.4,0.3,0.1,64,32,16,8
4,7,0.41379310344827586,0.0014996121837105474,76,32,0.3,0.4,0.3,64,32,16,8
4,8,0.676470588235294,0.003148302188694549,90,32,0.3,0.3,0.3,64,32,16,8
4,9,0.7105263157894737,0.005677918413839926,76,16,0.4,0.3,0.1,64,32,16,8
4,10,0.4461538461538461,0.005677918413839926,90,16,0.4,0.3,0.0,64,32,16,8
4,11,0.7127659574468085,0.004341889083061742,37,64,0.3,0.3,0.1,64,32,16,8
4,12,0.7152317880794701,0.005677918413839926,76,32,0.3,0.3,0.3,64,32,16,8
4,13,0.6145251396648045,0.003148302188694549,37,16,0.4,0.3,0.1,64,32,16,8
4,14,0.33613445378151263,0.005677918413839926,37,16,0.4,0.3,0.3,64,32,16,8
4,15,0.6620689655172414,0.003148302188694549,76,16,0.4,0.3,0.3,64,32,16,8
4,16,0.5517241379310345,0.004341889083061742,90,16,0.4,0.3,0.3,64,32,16,8
4,17,0.6586826347305389,0.004341889083061742,90,16,0.4,0.3,0.3,64,32,16,8
4,18,0.6666666666666666,0.01,90,16,0.4,0.3,0.3,64,32,16,8
4,19,0.6171428571428571,0.005677918413839926,76,32,0.4,0.3,0.1,64,32,16,8
4,20,0.35398230088495575,0.005807885018422765,90,64,0.4,0.4,0.3,64,32,16,8
5,1,0.13333333333333333,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
5,2,0.712962962962963,0.005807885018422765,90,32,0.4,0.3,0.3,64,32,16,8
5,3,0.05607476635514019,0.005677918413839926,76,32,0.3,0.3,0.3,64,32,16,8
5,4,0.6701030927835051,0.004341889083061742,37,64,0.3,0.3,0.1,64,32,16,8
5,5,0.7105263157894737,0.003148302188694549,76,64,0.4,0.3,0.3,64,32,16,8
5,6,0.6802030456852792,0.003148302188694549,76,64,0.4,0.3,0.3,64,32,16,8
5,7,0.7612903225806451,0.005807885018422765,90,16,0.4,0.3,0.3,64,32,16,8
5,8,0.6503067484662577,0.005807885018422765,90,16,0.3,0.3,0.2,64,32,16,8
5,9,0.6333333333333334,0.005807885018422765,37,64,0.4,0.3,0.3,64,32,16,8
5,10,0.5873015873015872,0.005677918413839926,75,64,0.4,0.4,0.0,64,32,16,8
5,11,0.42519685039370075,0.005677918413839926,76,16,0.2,0.3,0.1,64,32,16,8
5,12,0.7261904761904762,0.005677918413839926,76,16,0.4,0.3,0.3,64,32,16,8
5,13,0.18518518518518517,0.003148302188694549,76,32,0.3,0.3,0.3,64,32,16,8
5,14,0.41935483870967744,0.004341889083061742,88,16,0.4,0.3,0.3,64,32,16,8
5,15,0.5764705882352942,0.003148302188694549,63,16,0.4,0.3,0.3,64,32,16,8
5,16,0.6703296703296704,0.005807885018422765,90,64,0.4,0.3,0.1,64,32,16,8
5,17,0.5276073619631901,0.004341889083061742,37,16,0.3,0.3,0.3,64,32,16,8
5,18,0.6979166666666666,0.005677918413839926,76,16,0.4,0.3,0.1,64,32,16,8
5,19,0.673170731707317,0.005677918413839926,62,16,0.4,0.0,0.1,64,32,16,8
5,20,0.6758620689655173,0.005677918413839926,76,16,0.4,0.3,0.3,64,32,16,8
6,1,0.5762711864406779,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
6,2,0.6052631578947368,0.005807885018422765,90,32,0.4,0.3,0.3,64,32,16,8
6,3,0.6995073891625616,0.002373636091674353,63,16,0.4,0.3,0.0,64,32,16,8
6,4,0.509090909090909,0.005807885018422765,90,16,0.0,0.3,0.2,64,32,16,8
6,5,0.6944444444444444,0.004341889083061742,37,16,0.3,0.3,0.3,64,32,16,8
6,6,0.701492537313433,0.005807885018422765,76,32,0.4,0.3,0.3,64,32,16,8
6,7,0.6527777777777778,0.003148302188694549,89,64,0.2,0.0,0.3,64,32,16,8
6,8,0.6851851851851851,0.003148302188694549,63,32,0.4,0.3,0.3,64,32,16,8
6,9,0.26804123711340205,0.005807885018422765,90,16,0.4,0.3,0.3,64,32,16,8
6,10,0.32,0.005677918413839926,76,16,0.4,0.3,0.3,64,32,16,8
6,11,0.7069767441860464,0.005677918413839926,76,16,0.4,0.3,0.1,64,32,16,8
6,12,0.7745664739884394,0.005677918413839926,71,16,0.4,0.3,0.3,64,32,16,8
6,13,0.6769230769230768,0.005677918413839926,76,16,0.4,0.3,0.2,64,32,16,8
6,14,0.7105263157894737,0.005807885018422765,90,16,0.4,0.3,0.3,64,32,16,8
6,15,0.3364485981308411,0.005677918413839926,76,16,0.3,0.3,0.1,64,32,16,8
6,16,0.099009900990099,0.003148302188694549,83,64,0.4,0.3,0.3,64,32,16,8
6,17,0.0,0.003148302188694549,76,64,0.4,0.3,0.0,64,32,16,8
6,18,0.4233576642335767,0.005807885018422765,76,64,0.4,0.2,0.3,64,32,16,8
6,19,0.2201834862385321,0.003148302188694549,90,32,0.4,0.3,0.3,64,32,16,8
6,20,0.5909090909090909,0.00611503249911015,90,32,0.4,0.3,0.1,64,32,16,8
7,1,0.19469026548672566,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
7,2,0.7087378640776699,0.005677918413839926,76,16,0.4,0.3,0.2,64,32,16,8
7,3,0.14285714285714285,0.005677918413839926,76,16,0.4,0.3,0.1,64,32,16,8
7,4,0.624113475177305,0.005677918413839926,81,16,0.4,0.3,0.1,64,32,16,8
7,5,0.7319587628865979,0.00995996161818699,76,16,0.4,0.3,0.1,64,32,16,8
7,6,0.6521739130434783,0.005677918413839926,71,16,0.4,0.3,0.3,64,32,16,8
7,7,0.0967741935483871,0.004341889083061742,37,16,0.3,0.3,0.3,64,32,16,8
7,8,0.09174311926605504,0.003148302188694549,89,64,0.4,0.3,0.1,64,32,16,8
7,9,0.5492227979274611,0.00611503249911015,90,32,0.2,0.0,0.3,64,32,16,8
7,10,0.7692307692307692,0.005677918413839926,71,32,0.4,0.3,0.3,64,32,16,8
7,11,0.5988023952095808,0.005677918413839926,71,16,0.4,0.3,0.3,64,32,16,8
7,12,0.6138613861386137,0.005807885018422765,81,32,0.4,0.3,0.3,64,32,16,8
7,13,0.6263736263736264,0.005807885018422765,90,32,0.4,0.3,0.0,64,32,16,8
7,14,0.7053571428571428,0.003148302188694549,90,64,0.4,0.0,0.3,64,32,16,8
7,15,0.5654450261780105,0.005807885018422765,89,16,0.2,0.3,0.3,64,32,16,8
